Speaker,Sentence,Sentiment,Toxicity,Traditional_Fallacy,Transformer_Fallacy,Confidence_Score,Final_Judgement,Agreement
Speaker A,You are the dumbest person alive,NEGATIVE,toxic,Ad Hominem,appeal to emotion,0.5519698858261108,appeal to emotion,Medium (transformer preferred)
Speaker B,"That's an ad hominem attack, not a real argument",NEGATIVE,toxic,Ad Hominem,ad hominem,0.516951322555542,ad hominem,Medium (transformer preferred)
Speaker A,"Fine, but everyone agrees with me, so I must be right",POSITIVE,toxic,Circular Reasoning,ad populum,0.9847649335861206,ad populum,Medium (transformer preferred)
Speaker B,Popularity doesn't make something true,NEGATIVE,toxic,Circular Reasoning,ad populum,0.8823134899139404,ad populum,Medium (transformer preferred)
Speaker A,Think about the poor children suffering if we don't act,NEGATIVE,toxic,Appeal to Emotion,appeal to emotion,0.9339507222175598,appeal to emotion,Medium (transformer preferred)
Speaker B,You're appealing to emotion instead of giving evidence,POSITIVE,toxic,Red Herring,appeal to emotion,0.8472243547439575,appeal to emotion,Medium (transformer preferred)
Speaker A,So you're saying we should just ignore the problem completely?,NEGATIVE,toxic,Strawman,fallacy of extension,0.6911104321479797,fallacy of extension,Medium (transformer preferred)
Speaker B,"No, that's not what I said at all",NEGATIVE,toxic,Strawman,ad hominem,0.82728111743927,ad hominem,Medium (transformer preferred)
Speaker A,Either we accept this solution or everything will fail,NEGATIVE,toxic,False Dilemma,false dilemma,0.9718033075332642,false dilemma,Medium (transformer preferred)
Speaker B,"That's a false dilemma, there are other options",NEGATIVE,toxic,False Dilemma,false dilemma,0.5749279856681824,false dilemma,Medium (transformer preferred)
Speaker A,"If we allow this small change, society will collapse",NEGATIVE,toxic,Slippery Slope,faulty generalization,0.870637834072113,faulty generalization,Medium (transformer preferred)
Speaker B,That's a slippery slope argument,NEGATIVE,toxic,Ad Hominem,fallacy of credibility,0.43037283420562744,fallacy of credibility,Medium (transformer preferred)
Speaker A,All politicians are corrupt anyway,NEGATIVE,toxic,Hasty Generalization,faulty generalization,0.980103075504303,faulty generalization,Medium (transformer preferred)
Speaker B,That's a hasty generalization,NEGATIVE,toxic,False Dilemma,fallacy of credibility,0.49616071581840515,fallacy of credibility,Medium (transformer preferred)
Speaker A,Why are we even talking about this when there are bigger issues?,NEGATIVE,toxic,Red Herring,fallacy of relevance,0.3064720928668976,fallacy of relevance,Medium (transformer preferred)
Speaker B,"That's a red herring, stay on topic",NEGATIVE,toxic,Red Herring,fallacy of relevance,0.8972678184509277,fallacy of relevance,Medium (transformer preferred)
Speaker A,This policy is wrong because it's bad,NEGATIVE,toxic,Appeal to Emotion,circular reasoning,0.9613873958587646,circular reasoning,Medium (transformer preferred)
Speaker B,That's circular reasoning,POSITIVE,toxic,False Dilemma,circular reasoning,0.7805687189102173,circular reasoning,Medium (transformer preferred)
Speaker A,You're too inexperienced to understand this topic,NEGATIVE,toxic,Ad Hominem,ad hominem,0.9826297760009766,ad hominem,Medium (transformer preferred)
Speaker B,Attacking my experience doesn't invalidate my argument,POSITIVE,toxic,Ad Hominem,fallacy of credibility,0.7363215684890747,fallacy of credibility,Medium (transformer preferred)
Speaker A,"If you disagree, you're basically against progress",NEGATIVE,toxic,Appeal to Emotion,fallacy of extension,0.40010538697242737,fallacy of extension,Medium (transformer preferred)
Speaker B,That's another false dilemma,NEGATIVE,toxic,False Dilemma,fallacy of relevance,0.7135853171348572,fallacy of relevance,Medium (transformer preferred)
Speaker A,This is obviously true because everyone knows it,POSITIVE,toxic,Circular Reasoning,ad populum,0.9825197458267212,ad populum,Medium (transformer preferred)
Speaker B,"That's not evidence, just repetition",NEGATIVE,toxic,Strawman,intentional,0.8660709261894226,intentional,Medium (transformer preferred)
Speaker A,You always twist my words,POSITIVE,toxic,False Dilemma,appeal to emotion,0.9240878224372864,appeal to emotion,Medium (transformer preferred)
Speaker B,Point out exactly where instead of making vague claims,POSITIVE,toxic,Strawman,intentional,0.754404604434967,intentional,Medium (transformer preferred)
Speaker A,This will destroy our future generations,NEGATIVE,toxic,Appeal to Emotion,appeal to emotion,0.8687089681625366,appeal to emotion,Medium (transformer preferred)
Speaker B,"Again, that's emotional exaggeration without proof",NEGATIVE,toxic,False Dilemma,fallacy of relevance,0.764392614364624,fallacy of relevance,Medium (transformer preferred)
